name,address,city,province,postalCode,latitude,longitude,categories,twitter,websites
5 Seasons Brewing Llc,3655 Old Milton Pkwy,Alpharetta,GA,30005,34.0638,-84.2533,"Brewers,Brewery,American Restaurant",5seasonsnorth,http://5seasonsbrewing.com
Anheuser-busch Inc,6455 E Johns Xing 375,Duluth,GA,30097,34.062726,-84.16923,Brewers,,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4ESe32aGoZZfGxPUKOAupg6AXFQsvl2-A1Ztd21x5FLKumNpUzGNTBeMk2RvPjC41ZIvgiFwjULRMf936HQ-3fDilu-Jgq-3DroFPqeb7LaXUO4XtGt4yXSJsg9W4tlLVRNocJRkydaRxa9wTgFisP8W1xHayi-pt4LXmMLDoAlA88mbGvMGdZ1kQwynMef_QL5-dnV_XvuSnu8h2WqHraC7vJ91vtvH5uX1h2oYbFo0CTzGdUaeIM0tXeCH9vnnWRfYU0pMCFgVLKiSAKnr8sWkFW64lKPi1KErNnUrRvHRkwBYRkS8mNsCJts6vbaC-eg9C8uH3PUt1efhiljK08d9yfS9tpnsNaDS3n2Ry5V-GxuxdBrV5O9_KLBPeNmdCYKlaSUQkUB_n9bWVuO7xEKxkIkfeP77Gdtc_XWPSAt3PWzv4OJ06pOH2NBYWsKKsoKOo9F9cu3bq-oX34bPWNHrrVFTpi4eHfmI8p5yAgA8q6SrsUBIs6Njqkk8YPi1EQop_J6KfJxYw&placement=listing_profile.c&cs_user=unknown&cs_session=7e5038c6c8645ad622c906bbab261a47d5f5c3e3
Arylessence Inc,1091 Lake Dr,Marietta,GA,30066,34.0664,-84.5187,"Beverage Manufacturers,Toiletry Product Manufacturers,Flavoring Extract Manufacturers,Breweries,Wholesale Drugs Sundries,Wholesale Perfume,Wholesale Drugs & Sundries,Importers,Perfumes & Colognes Raw Materials & Supplies,Flavoring Extracts,Cosmetics,Exporters,retail",,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJbwpYXsfpqECYQxsW50yeLAVeCeS6nzpwczFgMSV_mJxiFWUdzcpu2Dul5EmFCX2-cdTf5PU4TqS2HooIDZuPumqOHZcEqkXn-obuASR_3xOHBsC59UO3JgcCD5rHD4uPYhMb65GF_hx23nwxw35E58b23d3i0_ZR64IJbyH5X-Rus3R_Pp68Hb85Ur8iIsqdbdQ-xhqr7Bx3pKOg9Om3t3qrAu-g-1SQ582REKTakOPnEHmvepJpRwyeQ_735yRQT-uzkm2q3jTjYl9t3aGxAsA_wmrb71ImbznCkoykDSWDvaVXVeo8BmN-6reri4rzZgfL1jtZepnyaDyUk_rgRkLO9-0Qi8we&placement=listing_profile&cs_user=unknown&cs_session=75d12213b12559808eecb687501b976449d98e9c
Burnt Hickory Brewery,2260 Moon Station Ct N W,Kennesaw,GA,30144,34.033405,-84.61684,"Food & Drink,Breweries,Brewery",bhb_brews,http://burnthickorybrewery.com
Carolina Ale House,203 Robert C Daniel Jr Pkwy,Augusta,GA,30909,33.49227,-82.07903,"Breweries and brew pubs,Restaurants,American restaurants,Pub restaurants,American Restaurant,Sports Bar,American Restaurant and Sports Bar,Restaurant",,http://carolinaalehouse.com
U S Beverage Inc,312 Greenville St,Newnan,GA,30263,33.3541,-84.79053,"Bottlers,Beverages-Distributors and Bottlers,Beverage Manufacturers,Flavoring Extract Manufacturers,Breweries",,http://coastalpacking.com
Copper Creek Brewing Co.,140 E Washington St,Athens,GA,30601,33.95890331,-83.37680519,"Brewery,American Restaurant,Restaurants,Brew Pubs,Catering,Brewery and American Restaurant",coppercreekbrew,http://coppercreekathens.com
Creature Comforts Brewing Co.,297 W Hancock Ave,Athens,GA,30601,33.95905904,-83.38007212,Brewery,creaturebeer,http://creaturecomfortsbeer.com
Gordon Biersch Brewery Restaurant,3242 Peachtree Rd NE,Atlanta,GA,30305,33.843385,-84.372368,"Brewery,American Restaurant,Brewery and American Restaurant Buckhead,Bars & Pubs,Pubs,Restaurants,Breweries,Bar & Grill Restaurants",gbbuckhead,http://gordonbiersch.com
Gordon Biersch Brewery Restaurant - Buckhead,3242 Peachtree Rd. NE,Atlanta,GA,30305,33.84369,-84.37269,"Restaurant,American,Pubs,Brewery",,http://gordonbiersch.com
