address,latitude,longitude
"3111 Main Street Duluth,  GA",34.00294400000001,-84.14505799999999
"110 Werz Industrial Blvd Ste 130 Newnan,  GA",33.4002203,-84.7637927
"150 Crane Dr Athens,  GA",33.9422723,-83.47044
"355 Trilith Parkway STE 110 Fayetteville,  GA",33.46908190000001,-84.50718309999999
"174 W Washington St Madison,  GA",33.5961816,-83.46931479999999
"110 Technology Parkway Peachtree Corners,  GA",33.9673481,-84.21691589999999
"341 E Main St Blue Ridge,  GA",34.8696694,-84.3202855
"100 Busch Dr NE Cartersville,  GA",34.2558728,-84.7831874
"3361 Dogwood Dr Hapeville,  GA",33.662732,-84.409736
"108 Park Ave Athens,  GA",33.9630997,-83.397863
"2323 Defoor Hills Rd NW Atlanta,  GA",33.8184359,-84.4345803
"240 Lee St. Fayetteville,  GA",33.44559,-84.4537342
"3472 Bethany Church Rd Lincolnton,  GA",33.8432768,-82.4156405
"1226 Ocean Blvd #1  St. Simons Island,  GA",31.14069,-81.38085160000001
"700 Lincoln St. LaGrange,  GA",33.0259092,-85.0482499
"1036 White St SW Atlanta,  GA",33.7316779,-84.4216754
"537 Edgewood Ave Atlanta,  GA",33.7539667,-84.37010049999999
"4098 Lawrenceville Hwy Lilburn,  GA",33.90328,-84.1173311
"2316 Main St STE K Tucker,  GA",33.8528393,-84.2146229
"907 Dilworth St Saint Marys,  GA",30.7353399,-81.5567932
"9859 Davis St Braselton,  GA",34.1092924,-83.7610986
"76 seven hills BLVD Dallas,  GA",34.0285285,-84.7774513
"2260 Moon Station Ct NW Ste 210 Kennesaw,  GA",34.0334308,-84.617128
"1660 Dekalb Ave Atlanta,  GA",33.7625696,-84.3331899
"1041 Broadway Columbus,  GA",32.46632260000001,-84.9936682
"26 River Ter Ellijay,  GA",34.6821749,-84.4917329
"1301 6th Ave, Ste C Columbus,  GA",32.4707141,-84.98540059999999
"207-B West Cuyler St Dalton,  GA",34.7694549,-84.96984859999999
"5810 Bond St  Cumming,  GA",34.1822437,-84.2189528
"6640 Town Sq, Ste 510 Alpharetta,  GA",34.111045,-84.223434
"79 Ross Rd Savannah,  GA",32.051747,-81.12396
"27 Word Street Fairburn,  GA",33.560805,-84.58464959999999
"5504 PEACHTREE RD CHAMBLEE,  GA",33.8950544,-84.29779889999999
"271 W Hancock Ave Athens,  GA",33.9589638,-83.380191
"355 Oneta St Bldg A100 Athens,  GA",33.969847,-83.3963401
