,company_name,company_type,company_phone,street_address,city,state,zipcode,member_type,independent_craft
0,52 Brewing,Planning,N/A,N/A,Dahlonega,GA,30533,Beer Association Associate Member,N/A
1,6S Brewing Company,Taproom,(678) 597-8335,3111 Main Street,"Duluth, ",GA,30096,Beer Association Member,Independent Craft Brewer
2,Abide Brewing Company,Micro,(678) 972-6747,110 Werz Industrial Blvd Ste 130,"Newnan, ",GA,30263-5802,Beer Association Member,Independent Craft Brewer
3,Akademia Brewing Company,Brewpub,(706) 461-3208,150 Crane Dr,"Athens, ",GA,30606-0600,N/A,Independent Craft Brewer
4,Amici At Trillith,Brewpub,(678) 892-5858,355 Trilith Parkway STE 110,"Fayetteville, ",GA,30214,N/A,Independent Craft Brewer
5,Amici Madison,Brewpub,(706) 342-0000,174 W Washington St,"Madison, ",GA,30650,N/A,Independent Craft Brewer
6,Anderby Brewing,Taproom,(404) 436-3905,110 Technology Parkway,"Peachtree Corners, ",GA,30092,Beer Association Member,Independent Craft Brewer
7,Angry Hops Brewing,Taproom,N/A,341 E Main St,"Blue Ridge, ",GA,30513,N/A,Independent Craft Brewer
8,Anheuser-Busch Inc – Cartersville,Large,(770) 386-2000,100 Busch Dr NE,"Cartersville, ",GA,30121-7217,N/A,N/A
9,Arches Brewing,Micro,(678) 653-2739,3361 Dogwood Dr,"Hapeville, ",GA,30354-1439,Beer Association Member,Independent Craft Brewer
10,Athentic Brewing Company,Taproom,(706) 296-3992,108 Park Ave,"Athens, ",GA,30601,Beer Association Member,Independent Craft Brewer
11,Atlanta Brewing,Micro,(404) 355-5558,2323 Defoor Hills Rd NW,"Atlanta, ",GA,30318-2207,Beer Association Member,Independent Craft Brewer
12,Awkward Brewing,Taproom,(425) 879-7891,240 Lee St.,"Fayetteville, ",GA,30214,N/A,Independent Craft Brewer
13,Back Paddle Brewing,Brewpub,(706) 359-8057,3472 Bethany Church Rd,"Lincolnton, ",GA,30817,Beer Association Member,Independent Craft Brewer
14,Barrier Island Brewing,Brewpub,(912) 268-2774,1226 Ocean Blvd #1 ,"St. Simons Island, ",GA,31522,Beer Association Member,Independent Craft Brewer
15,Beacon Brewing Co.,Brewpub,(706) 402-0830,700 Lincoln St.,"LaGrange, ",GA,30240,Beer Association Member,Independent Craft Brewer
16,Best End Brewing Company,Brewpub,(470) 391-0999,1036 White St SW,"Atlanta, ",GA,30310-2634,N/A,Independent Craft Brewer
17,Big O Brewery,Planning,N/A,N/A,Canton,GA,30114-5889,Beer Association Associate Member,N/A
18,Biggerstaff Brewing Company,Brewpub,(404) 796-9919,537 Edgewood Ave,"Atlanta, ",GA,30312,N/A,Independent Craft Brewer
